516 BCE  The Second Temple of Jerusalem finishes construction.
1018  Poland and the Holy Roman Empire conclude the Peace of Bautzen.
1649  King Charles I of England is beheaded.
1826  The Menai Suspension Bridge, considered the world's first modern suspension bridge, connecting the Isle of Anglesey to the north West coast of Wales, is opened.
1835  In the first assassination attempt against a President of the United States, Richard Lawrence (failed assassin)|Richard Lawrence attempts to shoot president Andrew Jackson, but fails and is subdued by a crowd, including several congressmen as well as Jackson himself.
1847  Yerba Buena, California is renamed San Francisco, California.
1858  The first Hallé concert is given in Manchester, England, marking the official founding of The Hallé orchestra as a full-time, professional orchestra.
1902  The first Anglo-Japanese Alliance is signed in London.
1908  Indian pacifist and leader Mahatma Gandhi|Mohandas Karamchand Gandhi is released from prison by Jan C. Smuts after being tried and sentenced to two months in jail earlier in the month.
1925  The Government of Turkey expels Constantine VI of Constantinople|Patriarch Constantine VI from Istanbul.
1930  The Politburo of the Soviet Union orders the extermination of the Kulaks.
1933  Adolf Hitler Machtergreifung|is sworn in as Chancellor of Germany (German Reich)|Chancellor of Germany.
1948  Mahatma Gandhi is Assassination of Mahatma Gandhi|assassinated by Nathuram Godse, a Hindu extremist.
1948  British South American Airways' BSAA Star Tiger disappearance|Tudor IV Star Tiger disappears over the Bermuda Triangle.
1956  African-American civil rights leader Martin Luther King, Jr.'s home is bombed in retaliation for the Montgomery Bus Boycott.
1960  The African National Party is founded in Chad, through the merger of traditionalist parties.
1964  In a bloodless coup, General Nguyễn Khánh 1964 South Vietnamese coup|overthrows General Dương Văn Minh's military junta in South Vietnam.
1969  The Beatles' last public performance, on the roof of Apple Records in London. The The Beatles' rooftop concert|impromptu concert is broken up by the police.
1972  Pakistan leaves the Commonwealth of Nations in protest of its recognition of breakaway Bangladesh.
1975  The Monitor National Marine Sanctuary is established as the first United States National Marine Sanctuary.
1979  A Varig Boeing 707-323C freighter, flown by the same commander as Varig Flight 820|Flight 820, 1979 Boeing 707-323C disappearance|disappears over the Pacific Ocean 30 minutes after taking off from Tokyo.
1982  Richard Skrenta writes the first PC Computer virus|virus code, which is 400 lines long and disguised as an Apple Inc.|Apple boot program called \"Elk Cloner\".
1989  Closure of the American embassy in Kabul, Democratic Republic of Afghanistan.
1995  Workers from the National Institutes of Health announce the success of clinical trials testing the first preventive treatment for sickle-cell disease.
2013  Naro-1 becomes the first Launch vehicle|carrier rocket launched by South Korea.
