4 AD  Augustus adopts Tiberius.
221  Roman emperor Elagabalus adopts his cousin Alexander Severus as his heir and receives the title of Caesar (title)|Caesar.
684  Pope Benedict II is chosen.
699  En no Ozuno, a Japanese mystic and apothecary who will later be regarded as the founder of a folk religion Shugendō, is banished to Izu Ōshima.
1295  Przemysł II crowned king of Poland, following Ducal period. The white eagle is added to the Coat of arms of Poland|Polish coat of arms.
1407  Ulrich von Jungingen becomes Grand Master of the Teutonic Knights.
1409  Western Schism: The Roman Catholic Church is led into a double schism (religion)|schism as Petros Philargos is crowned Pope Alexander V after the Council of Pisa, joining Pope Gregory XII in Rome and Pope Benedict XII in Avignon.
1483  Richard III of England|Richard III becomes King of England.
1522  Ottomans begin the second Siege of Rhodes (1522)|Siege of Rhodes.
1579  Livonian campaign of Stephen Báthory begins.
1723  After a siege and bombardment by cannon, Baku surrenders to the Russians.
1830  William IV of the United Kingdom|William IV becomes king of Britain and Hanover.
1843  Treaty of Nanking comes into effect, Hong Kong Island is ceded to the British \"in perpetuity\".
1848  End of the June Days Uprising in Paris.
1857  The first investiture of the Victoria Cross in Hyde Park, London|Hyde Park, London.
1870  The Christian holiday of Christmas is declared a federal holiday in the United States.
1886  Henri Moissan isolated elemental Fluorine for the first time.
1889  Bangui is founded by Albert Dolisie and Alfred Uzac in what was then the upper reaches of the French Congo.
1906  The first 1906 French Grand Prix|Grand Prix motor racing event held.
1909  The Science Museum, London|Science Museum in London comes into existence as an independent entity.
1924  The United States occupation of the Dominican Republic (1916–24)|American occupation of the Dominican Republic ends after eight years.
1927  The Cyclone roller coaster opens on Coney Island.
1934  United States President Franklin D. Roosevelt signs the Federal Credit Union Act, which establishes credit unions.
1936  Initial flight of the Focke-Wulf Fw 61, the first practical helicopter.
1942  The first flight of the Grumman F6F Hellcat.
1948    William Shockley files the original patent for the grown-junction transistor, the first bipolar junction transistor.
1948    Shirley Jackson's short story ''The Lottery'' is published in ''The New Yorker'' magazine.
1952  The Pan-Malayan Labour Party is founded in Federation of Malaya|Malaya, as a union of statewide labour parties.
1953  Lavrentiy Beria, head of MVD, is arrested by Nikita Khrushchev and other members of the Politburo.
1955  The South African Congress Alliance adopts the Freedom Charter at the Congress of the People (1955)|Congress of the People in Kliptown.
1959  Swedish boxer Ingemar Johansson becomes world champion of heavy weight boxing, by defeating American Floyd Patterson on technical knockout after two minutes and three seconds in the third round at Yankee Stadium.
1960  The former British Protectorate of British Somaliland gains its independence as Somaliland.
1960    Madagascar gains its independence from France.
1967  Karol Wojtyła (later John Paul II) made a cardinal by Pope Paul VI.
1974  The Universal Product Code is scanned for the first time to sell a package of Wrigley's chewing gum at the Marsh Supermarket in Troy, Ohio.
1977  Elvis Presley held his final concert in Indianapolis, Indiana at Market Square Arena
1978  Air Canada Flight 189, flying to Toronto, overruns the runway and crashes into the Etobicoke Creek ravine. Two of the 107 passengers on board perish.
1995  Hamad bin Khalifa Al Thani deposes his father Khalifa bin Hamad Al Thani, the Emir of Qatar, in a bloodless coup d'état.
1997  The Supreme Court of the United States|U.S. Supreme Court rules that the Communications Decency Act violates the First Amendment to the United States Constitution.
2000  The Human Genome Project announces the completion of a \"rough draft\" sequence.
2000    Pope John Paul II reveals the Three Secrets of Fátima|third secret of Fátima.
2003  The Supreme Court of the United States|U.S. Supreme Court rules in ''Lawrence v. Texas'' that gender-based sodomy laws are unconstitutional.
2006  Mari Alkatiri, the first Prime Minister of East Timor, resigns after weeks of political unrest.
2007  Pope Benedict XVI reinstates the traditional laws of papal election in which a successful candidate must receive two-thirds of the votes.
2013    The Supreme Court of the United States|U.S. Supreme Court United States v. Windsor|ruled, 5–4, that Section 3 of the Defense of Marriage Act is unconstitutional and in violation of the Fifth Amendment to the United States Constitution.
2015  The Supreme Court of the United States|U.S. Supreme Court Obergefell v. Hodges|ruled, 5–4, that same-sex couples have a constitutional right to marriage under the Fourteenth Amendment to the United States Constitution|14th Amendment to the United States Constitution.
