534 BC  Thespis of Icaria becomes the first recorded actor to portray a character onstage.
1174  Saladin enters Damascus, and adds it to his domain.
1248  Conquest of Seville by Christian troops under King Ferdinand III of Castile.
1644  John Milton publishes ''Areopagitica'', a pamphlet decrying censorship.
1810  Sarah Booth debuts at the Royal Opera House.
1876  Corrupt Tammany Hall leader William Magear Tweed (better known as William M. Tweed|Boss Tweed) is delivered to authorities in New York City after being captured in Spain.
1889  The first jukebox goes into operation at the Palais Royale Saloon in San Francisco.
1918  Heber J. Grant succeeds Joseph F. Smith as the seventh President of the Church (LDS Church)|president of The Church of Jesus Christ of Latter-day Saints.
1924  Edwin Hubble's discovery, that the Andromeda Galaxy|Andromeda \"nebula\" is actually another galaxy|island galaxy far outside of our own Milky Way, is first published in ''The New York Times''.
1934  An Anglo-Ethiopian boundary commission in the Ogaden discovers an Italian garrison at Walwal, well within Ethiopian territory. This leads to the Abyssinia Crisis.
1936  Life (magazine)|''Life'' magazine is reborn as a photo magazine and enjoys instant success.
1953  Pilot Felix Moncla and Lieutenant Robert Wilson disappear while in pursuit of a mysterious craft over Lake Superior.
1955  The Cocos Islands are transferred from the control of the United Kingdom to that of Australia.
1959  President of France|French President Charles de Gaulle declares in a speech in Strasbourg his vision for \"European integration|Europe, from the Atlantic to the Urals\".
1963  The BBC broadcasts the first episode of ''An Unearthly Child'' (starring William Hartnell), the first story from the first series of ''Doctor Who'', which is now the world's longest running science fiction drama.
1971  Representatives of the People's Republic of China China and the United Nations|attend the United Nations, including the United Nations Security Council, for the first time.
1972  The Soviet Union makes its final attempt at successfully launching the N1 (rocket)|N1 rocket.
1976  Apneist Jacques Mayol is the first man to reach a depth of 100&nbsp;m undersea without breathing equipment.
1978    The Geneva Frequency Plan of 1975 goes into effect, realigning many of Europe's longwave and mediumwave broadcasting frequencies.
1981  Iran–Contra affair: Ronald Reagan signs the top secret National Security Decision Directive 17 (NSDD-17), giving the Central Intelligence Agency the authority to recruit and support Contras|Contra rebels in Nicaragua.
1992  The first smartphone, the IBM Simon, is introduced at COMDEX in Las Vegas, Nevada.
2001  The Convention on Cybercrime is signed in Budapest|Budapest, Hungary.
2004  The Holy Trinity Cathedral of Tbilisi, the largest religious building in Georgia (country)|Georgia, is consecrated.
2005  Ellen Johnson Sirleaf is Liberian general election, 2005|elected president of Liberia and becomes the first woman to lead an African country.
2007  {{MS|Explorer|1969|6}}, a cruise liner carrying 154 people, sinks in the Antarctic Ocean south of Argentina after hitting an iceberg near the South Shetland Islands. There are no fatalities.
2009  The Maguindanao massacre occurs in Ampatuan, Maguindanao|Ampatuan, Maguindanao, Philippines.
2011  Arab Spring: After 11 months of 2011 Yemeni uprising|protests in Yemen, Yemeni president Ali Abdullah Saleh signs a deal to transfer power to the vice president, in exchange for legal immunity.
2015  Blue Origin's New Shepard space vehicle became the first rocket to successfully fly to space and then return to Earth for a controlled, vertical landing.
