597 BC  Babylonians capture Jerusalem, and replace Jeconiah with Zedekiah as king.
455  Emperor Valentinian III is Assassination|assassinated by two Huns|Hunnic retainers while training with the Bow and arrow|bow on the Campus Martius (Ancient Rome|Rome).
934  Meng Zhixiang declares himself Emperor of China|emperor and establishes Later Shu as a new state independent of Later Tang.
1190  Massacre of Jews at York Castle|Clifford's Tower, York.
1521  Ferdinand Magellan reaches the island of Homonhon in the Philippines.
1621  Samoset, a Mohegan, visited the settlers of Plymouth Colony and greets them, \"Welcome, Englishmen! My name is Samoset.\"
1660  The Long Parliament of England is dissolved so as to prepare for the new Convention Parliament (1660)|Convention Parliament.
1689  The 23rd Regiment of Foot, or Royal Welch Fusiliers, is founded.
1802  The United States Army Corps of Engineers|Army Corps of Engineers is established to found and operate the United States Military Academy|United States Military Academy at West Point.
1815  William I of the Netherlands|Prince Willem proclaims himself King of the United Kingdom of the Netherlands, the first constitutional monarchy|constitutional monarch in the Netherlands.
1870  The first version of the Romeo and Juliet (Tchaikovsky)|overture fantasy ''Romeo and Juliet'' by Tchaikovsky receives its première performance.
1872  The Wanderers F.C. won the first FA Cup, the oldest association football|football competition in the world, beating Royal Engineers A.F.C. 1–0 at The Oval in Kennington, London.
1894  Jules Massenet's opera Thaïs (opera)|''Thaïs'' is first performed.
1898  In Melbourne the representatives of five colonies adopted a Constitution of Australia|constitution, which would become the basis of the Commonwealth of Australia.<ref>J.A. LaNauze. The Making of the Australian Constitution. Melbourne University Press, 1972.</ref>
1900  Sir Arthur Evans purchased the land around the ruins of Knossos, the largest Bronze Age archaeological site on Crete.
1916  The 7th and 10th US cavalry regiments under John J. Pershing cross the US–Mexico border to join the hunt for Pancho Villa.
1924  In accordance with the Treaty of Rome (1924)|Treaty of Rome, Rijeka|Fiume becomes annexed as part of Italy.
1935  Adolf Hitler orders Germany to rearm herself in violation of the Treaty of Versailles. Conscription is reintroduced to form the Wehrmacht.
1939  From Prague Castle, Hitler proclaims Protectorate of Bohemia and Moravia|Bohemia and Moravia a German protectorate.
1958  The Ford Motor Company produces its 50 millionth automobile, the Ford Thunderbird|Thunderbird, averaging almost a million cars a year since the company's founding.
1966  Launch of Gemini 8, the 12th manned American space flight and first space docking with an Agena target vehicle|Agena Target Vehicle.
1968    General Motors produces its 100 millionth automobile, the Oldsmobile Toronado.
1976  British Prime Minister Harold Wilson resigns, citing personal reasons.
1978    Supertanker ''Amoco Cadiz'' splits in two after running aground on the Portsall Rocks, three miles off the coast of Brittany, resulting in the largest oil spill in history at that time.
1983  Demolition of the Ismaning radio transmitter, the last wooden radio tower in Germany.
1988  Iran–Contra affair: Lieutenant Colonel Oliver North and Vice Admiral John Poindexter are indicted on charges of conspiracy (criminal)|conspiracy to defraud the United States.
1989  In Egypt, a 4400-year-old mummy is found near the Great Pyramid of Giza|Pyramid of Cheops.
1991  The airplane carrying eight members of Reba McEntire's touring band crashed on the side of Otay Mountain.
1995  Mississippi formally ratifies the Thirteenth Amendment to the United States Constitution|Thirteenth Amendment, becoming the last state to approve the abolition of slavery. The Thirteenth Amendment was officially ratified in 1865.
2005  Israel officially hands over Jericho to Palestinian control.
2014  Crimea votes in a controversial Crimean status referendum, 2014|referendum to secede from Ukraine to join Russia.
