753 BC  Romulus founds Rome (founding of Rome|traditional date).
1092  The Diocese of Pisa is elevated to the rank of metropolitan archdiocese by Pope Urban II
1506  The three-day Lisbon Massacre comes to an end with the slaughter of over 1,900 suspected Jews by Portuguese Catholics.
1615  The Wignacourt Aqueduct is inaugurated in History of Malta under the Order of Saint John|Malta.
1782  The city of Rattanakosin, now known internationally as Bangkok, is History of Bangkok|founded on the eastern bank of the Chao Phraya River by King Buddha Yodfa Chulaloke.
1806  Action of 21 April 1806: A French frigate escapes British forces off the coast of South Africa.
1821  Benderli Ali Pasha arrives in Constantinople as the new Grand Vizier of the Ottoman Empire; he remains in power for only nine days before being sent into exile.
1856  Australian labour movement: Stonemasons and building workers on building sites around Melbourne march from the University of Melbourne to Parliament House to achieve an eight-hour day.
1894  Norway formally adopts the Krag–Jørgensen bolt-action rifle as the main arm of its armed forces, a weapon that would remain in service for almost 50 years.
1914  Ypiranga incident: A German arms shipment to Mexico is intercepted by the U.S. Navy near Veracruz (city)|Veracruz.
1926  Al-Baqi'|Al-Baqi cemetery, former site of the mausoleum of The Twelve Imams|four Shi'a Imams, is Demolition of al-Baqi|leveled to the ground by Wahhabism|Wahhabis.
1934  The \"Surgeon's Photograph\", the most famous photo allegedly showing the Loch Ness Monster, is published in the ''Daily Mail'' (in 1999, it is revealed to be a hoax).
1948  United Nations Security Council Resolution 47 relating to Kashmir conflict is adopted.
1952  Secretary's Day (now Administrative Professionals' Day) is first celebrated.
1960  Brasília, Brazil's capital, is officially inaugurated. At 09:30, the Three Powers of the Republic are simultaneously transferred from the old capital, Rio de Janeiro.
1963  The first election of the Universal House of Justice is held, marking its establishment as the supreme governing institution of the Bahá'í Faith.
1964  A Transit (satellite)|Transit-5bn satellite fails to reach orbit after launch; as it re-enters the atmosphere, {{convert|2.1|lb}} of radioactive plutonium in its Systems Nuclear Auxiliary Power Program|SNAP Radioisotope thermoelectric generator|RTG power source is widely dispersed.
1965  The 1964 New York World's Fair|1964–1965 New York World's Fair opens for its second and final season.
1966  Rastafari movement: Haile Selassie of Ethiopia visits Jamaica, an event now celebrated as Grounation Day.
1967  Greek military junta of 1967–74: A few days before the general election in Greece, Colonel Georgios Papadopoulos|George Papadopoulos leads a coup d'état, establishing a Greek military junta of 1967–74|military regime that lasts for seven years.
1977  Annie (musical)|Annie opens on Broadway theatre|Broadway.
1982  Baseball: Rollie Fingers of the Milwaukee Brewers becomes the first pitcher to record 300 saves.
1985  The compound of the militant group The Covenant, The Sword, and the Arm of the Lord surrenders to federal authorities in Arkansas after a two-day government siege.
1989  Tiananmen Square protests of 1989: In Beijing, around 100,000 students gather in Tiananmen Square to commemorate Chinese reform leader Hu Yaobang.
2010  The controversial Kharkiv Pact (Russian Ukrainian Naval Base for Gas Treaty) is signed in Kharkiv, Ukraine, by Ukrainian President Viktor Yanukovych and Russian President Dmitry Medvedev; it was unilaterally terminated by Russia on March 31, 2014.
2012  Two trains are involved in a Sloterdijk train collision|head-on collision near Sloterdijk, Amsterdam, in the Netherlands, injuring 116 people.
2012    United Nations Security Council Resolution 2043 relating to 2011-2012 Syrian uprising|Syrian uprising is adopted.
