43 BC  Cicero|Marcus Tullius Cicero is assassinated in Formia.
574  Byzantine Emperor Justin II retires due to recurring seizures of insanity. He abdicates the throne in favor of his general Tiberius II Constantine|Tiberius, proclaiming him ''Caesar (title)|Caesar''.
1724  Tumult of Thorn (Toruń)|Tumult of Thorn: Religious unrest is followed by the execution of nine Protestantism|Protestant citizens and the mayor of Toruń|Thorn (Toruń) by Polish authorities.
1732  The Royal Opera House opens at Covent Garden, London, England.
1776  Gilbert du Motier, Marquis de Lafayette, arranges to enter the American military as a major general.
1842  First concert of the New York Philharmonic, founded by Ureli Corelli Hill.
1869  American outlaw Jesse James commits his first confirmed bank robbery in Gallatin, Missouri.
1922  The Parliament of Northern Ireland votes to remain a part of the United Kingdom and not unify with Southern Ireland (1921–22)|Southern Ireland.
1930  W1WX|W1XAV in Boston|Boston, Massachusetts telecasts video from the CBS radio orchestra program, ''The Fox Trappers''. The telecast also includes the first Television advertisement|television commercial in the United States, an advertisement for I.J. Fox Furriers, who sponsored the radio show.
1932 &#x2013; German-born Swiss physicist Albert Einstein is granted an American Visa (document)|visa.
1936  Australian cricketer Jack Fingleton becomes the first player to score century (cricket)|centuries in four consecutive Test cricket|Test innings.
1962  Prince Rainier III, Prince of Monaco|Rainier III of Monaco revises the principality's Constitution of Monaco|constitution, devolving some of his power to advisory and legislative councils.
1963  Instant replay makes its debut during the Army–Navy Game|Army-Navy football game in Philadelphia, Pennsylvania, United States.
1965  Pope Paul VI and Athenagoras I of Constantinople|Patriarch Athenagoras I Catholic–Orthodox Joint Declaration of 1965|simultaneously revoke mutual excommunications that had been in place since 1054.
1971  Pakistan President Yahya Khan announces the formation of a coalition government with Nurul Amin as Prime Minister and Zulfikar Ali Bhutto as Deputy Prime Minister.
1972  ''Apollo 17'', the last Apollo program|Apollo moon mission, is launched. The crew takes the photograph known as ''The Blue Marble'' as they leave the Earth.
1995  The Galileo (spacecraft)|''Galileo'' spacecraft arrives at Jupiter, a little more than six years after it was launched by Space Shuttle Atlantis|Space Shuttle ''Atlantis'' during STS-34|Mission STS-34.
1999  ''A&M Records, Inc. v. Napster, Inc., 114 F.Supp.2d 896|A&M Records, Inc. v. Napster, Inc.'': The Recording Industry Association of America sues the peer-to-peer file sharing|file-sharing service Napster, alleging copyright infringement.
2003  The Conservative Party of Canada is officially registered, following the merger of the Canadian Alliance and the Progressive Conservative Party of Canada.
2015  The JAXA probe Akatsuki (spacecraft)|Akatsuki successfully enters orbit around Venus five years after the first attempt.
2017  Marriage Amendment (Definition and Religious Freedoms) Bill 2017|Marriage Amendment Bill to recognize same-sex marriage passes in Australia.
