539 BC  The army of Cyrus the Great of Persia takes Babylon (Gregorian calendar)
456  The Visigoths under king Theodoric II, acting on orders of the Roman emperor Avitus, invade Iberia with an army of Burgundians, Franks and Goths, led by the kings Chilperic I of Burgundy|Chilperic I and Gondioc. They defeat the Suebi under king Rechiar on the river Órbigo|Urbicus near Astorga, Spain|Astorga (Gallaecia).
610  Coronation of Byzantine Emperor Heraclius.
816  King Louis the Pious is crowned emperor of the Holy Roman Empire by Pope Pope Stephen IV|Stephen IV at Reims.
869  The Fourth Council of Constantinople (Roman Catholic)|Fourth Council of Constantinople is convened to decide about what to do about patriarch Photios I of Constantinople|Photius of Constantinople.
1143  King Alfonso VII of León and Castile recognises Portugal as a Kingdom.
1450  Jews are expelled from Lower Bavaria by order of Louis IX, Duke of Bavaria.
1550  Foundation of Concepción, Chile|Concepción, city in Chile.
1582  Because of the implementation of the Gregorian calendar this day does not exist in this year in Italy, Poland, Portugal and Spain.
1665  The University of Kiel is founded.
1857  The City of Anaheim, California is founded.
1869  The Saxby Gale devastates the Bay of Fundy region of Maritime Canada. The storm had reportedly been predicted over a year before by a British naval officer.
1877  Chief Joseph surrenders his Nez Perce people|Nez Perce band to General Nelson A. Miles.
1905  Wilbur Wright pilots Wright Flyer III in a flight of 24 miles in 39 minutes, a world record that stood until 1908.
1911  The Kowloon–Canton Railway (split into MTR East Rail Line and Guangshen Railway now) commences service between Kowloon and Guangzhou|Canton.
1921  The 1921 World Series|World Series is the first to be broadcast on History of radio|radio.
1930  British airship R101 crashes in France ''en route'' to India on its maiden voyage.
1936  The Jarrow March sets off for London.
1944  Women's suffrage#France|Suffrage is extended to women in France.
1947  The first televised White House address is given by President of the United States|U.S. President Harry S. Truman.
1955  Disneyland Hotel (California)|Disneyland Hotel opens to the public in Anaheim, California.
1962  ''Dr. No (film)|Dr. No'', the first in the James Bond in film|James Bond film series, is released.
1962    The Beatles' first single, \"Love Me Do\" backed with \"P.S. I Love You (Beatles song)|P.S. I Love You\", is released in the United Kingdom.
1966  Near Detroit|Detroit, Michigan, there is a partial core meltdown at the Enrico Fermi Nuclear Generating Station|Enrico Fermi demonstration nuclear breeder reactor.
1968  Police baton Northern Ireland Civil Rights Association|civil rights demonstrators in Derry, Northern Ireland  considered to mark the beginning of The Troubles.
1970  The Public Broadcasting Service (PBS) is founded.
1980  Elisabeth blast furnace demolished at Bilston Steelworks marking the end of iron and steel production in the Black Country.<ref>http://blackcountryhistory.org/collections/getrecord/GB149_P_915/</ref>
1984  Marc Garneau becomes the first Canadian space program|Canadian in space, aboard the Space Shuttle ''Space Shuttle Challenger|Challenger''.
1986  Nuclear weapons and Israel|Israeli secret nuclear weapons are revealed. The British newspaper ''The Sunday Times'' runs Mordechai Vanunu's story on its front page under the headline: \"Revealed — the secrets of Israel's nuclear arsenal\".
1988  The Chilean opposition coalition ''Concertación'' (center-left) defeats Augusto Pinochet in Chilean national plebiscite, 1988|his re-election attempt and a general election is called the following year.
1990  After one hundred and fifty years ''The Herald (Melbourne)|The Herald'' broadsheet newspaper in Melbourne, Australia, is published for the last time as a separate newspaper.
2001  Barry Bonds surpasses Mark McGwire's single-season home run total with his List of milestone home runs by Barry Bonds|milestone 71st and 72nd home runs.
