484 BC  Dedication of the Temple of Castor and Pollux in ancient Rome
1149  The reconstructed Church of the Holy Sepulchre is consecrated in Jerusalem.
1207  King John, King of England|John of England expels Canterbury monks for supporting Archbishop of Canterbury|Archbishop Stephen Langton.
1381  John Ball (priest)|John Ball, a leader in the Peasants' Revolt, is hanged, drawn and quartered in the presence of King Richard II of England.
1482  Muhammad XII of Granada|Muhammad XII is crowned the twenty-second and last Nasrid dynasty|Nasrid king of Emirate of Granada|Granada.
1741  Aleksei Chirikov sights land in Southeast Alaska. He sends men ashore in a longboat, making them the first Europeans to visit Alaska.
1789  Gilbert du Motier, Marquis de Lafayette, is named by acclamation Colonel General of the new National Guard (France)|National Guard of Paris.
1799  The Rosetta Stone is found in the Egyptian village of Rosetta by French Captain (armed forces)|Captain Pierre-François Bouchard during Napoleon's French campaign in Egypt and Syria|Egyptian Campaign.
1806  Pike expedition: United States Army Lieutenant Zebulon Pike begins an expedition from Fort Bellefontaine near St. Louis, Missouri,  to explore the west.
1834  The Spanish Inquisition is officially disbanded after nearly 356 years.
1838  Ralph Waldo Emerson delivers the Divinity School Address at Harvard Divinity School, discounting Biblical miracles and declaring Jesus a great man, but not God.  The Protestant community reacts with outrage.
1870    Rupert's Land and the North-Western Territory are transferred to Canada from the Hudson's Bay Company, and the province of Manitoba and the Northwest Territories are established from these vast territories.
1910  In his book ''Clinical Psychiatry'', Emil Kraepelin gives a name to Alzheimer's disease, naming it after his colleague Alois Alzheimer.
1916  In Seattle|Seattle, Washington, William Boeing and George Conrad Westervelt incorporate Pacific Aero Products (later renamed Boeing).
1920  The Second Polish Republic|Polish Parliament establishes Silesian Voivodeship (1920–39)|Silesian Voivodeship before the Upper Silesia plebiscite|Polish-German plebiscite.
1922  Japanese Communist Party is established in Japan.
1946  North Borneo|State of North Borneo, today in Sabah, Malaysia, annexed by the United Kingdom.
1954  First flight of the Boeing 367-80, prototype for both the Boeing 707 and Boeing C-135 Stratolifter|C-135 series.
1955  Eighteen Nobel Prize|Nobel laureates sign the Mainau Declaration against nuclear weapons, later co-signed by thirty-four others.
1959  The steel strike of 1959 begins, leading to significant importation of foreign steel for the first time in United States history.
1971  The United Red Army is founded in Japan.
1974  In Nicosia, Cyprus, Greek military junta of 1967–74|Greek junta-sponsored nationalists launch a coup d'état, deposing President Makarios III|Makarios and installing Nikos Sampson as Cyprus|Cypriot president.
1975  Space Race: Apollo–Soyuz Test Project features the dual launch of an Apollo program|Apollo spacecraft and a Soyuz (spacecraft)|Soyuz spacecraft on the first joint Soviet-United States human-crewed flight. It was both the last launch of an Apollo spacecraft, and the Saturn (rocket family)|Saturn family of rockets.
1979  U.S. President of the United States|President Jimmy Carter gives his \"malaise speech\".
1996  A Belgian Air Component|Belgian Air Force Lockheed C-130 Hercules|C-130 Hercules carrying the Royal Netherlands Army marching band crashes on landing at Eindhoven Airport.
2002  \"American Taliban\" John Walker Lindh pleads guilty to supplying aid to the enemy and to possession of explosives during the commission of a felony.
2006  Twitter is launched, becoming one of the largest social media platforms in the world.
2016  Factions of the Turkish Armed Forces attempt 2016 Turkish coup d'état attempt|a coup.
