63 BC  Cicero gives the fourth and final of the Catiline Orations.
633  Fourth Council of Toledo takes place.
1082  Ramon Berenguer II, Count of Barcelona is assassinated.
1408  Emir Edigu of Golden Horde reaches Moscow.
1484  Pope Innocent VIII issues the ''Summis desiderantes affectibus'', a papal bull that deputizes Heinrich Kramer and Jacob Sprenger as inquisition|inquisitors to root out alleged witchcraft in Germany.
1492  Christopher Columbus becomes the first European to set foot on the island of Hispaniola (now Haiti and the Dominican Republic).
1496  King Manuel I of Portugal issues a decree ordering the expulsion of \"heretics\" from the country.
1560  Charles IX of France|Charles IX becomes king of France.
1766  In London, auctioneer James Christie (auctioneer)|James Christie holds his first sale.
1775  At Fort Ticonderoga, Henry Knox begins his historic Noble train of artillery|transport of artillery to Cambridge, Massachusetts.
1831  Former U.S. President John Quincy Adams takes his seat in the United States House of Representatives|House of Representatives.
1847  Jefferson Davis is elected to the U.S. Senate.
1848  California Gold Rush: In a message to the United States Congress, U.S. President James K. Polk confirms that large amounts of gold had been discovered in California.
1933  The Twenty-first Amendment to the United States Constitution is ratified.
1936  The Soviet Union adopts a new 1936 Soviet Constitution|constitution and the Kirghiz Soviet Socialist Republic is established as a full Republics of the Soviet Union|Union Republic of the Soviet Union|USSR.
1955  The American Federation of Labor and the Congress of Industrial Organizations merge and form the AFL–CIO.
1955    E. D. Nixon and Rosa Parks lead the Montgomery Bus Boycott.
1958  Subscriber trunk dialling|Subscriber Trunk Dialling (STD) is inaugurated in the United Kingdom by Queen Elizabeth II when she speaks to the Lord Provost in a call from Bristol to Edinburgh.
1958    The Preston By-pass, the UK's first stretch of motorway, opens to traffic for the first time. (It is now part of the M6 motorway|M6 and M55 motorway|M55 motorways.)
1964    Lloyd J. Old discovered the first linkage between the major histocompatibility complex (MHC) and disease—mouse leukemia—opening the way for the recognition of the importance of the MHC in the immune response.
1977  Egypt breaks diplomatic relations with Syria, Libya, Algeria, Iraq and South Yemen. The move is in retaliation for the Declaration of Tripoli against Egypt.
1983  Dissolution of the National Reorganization Process|Military Junta in Argentina.
1991  Leonid Kravchuk is elected the first president of Ukraine.
2004  The Civil Partnership Act 2004|Civil Partnership Act comes into effect in the United Kingdom, and the first Civil partnership in the United Kingdom|civil partnership is registered there.
2006  Commodore Frank Bainimarama overthrows the government in Fiji.
2014  Exploration Flight Test 1, the first flight test of Orion (spacecraft)|Orion is launched.
2017  The International Olympic Committee bans Russia from competing at the 2018 Winter Olympics for doping at the 2014 Winter Olympics.
