44 BC  Pharaoh Cleopatra VII of Egypt declares her son co-ruler as Ptolemy XV Caesarion.
1192  The Treaty of Jaffa is signed between Richard I of England and Saladin, leading to the end of the Third Crusade.
1752  Great Britain adopts the Gregorian calendar, nearly two centuries later than most of Western Europe.
1789  The United States Department of the Treasury is founded.
1856  The Tianjing incident takes place in Nanjing, China.
1867  Mutsuhito, Emperor Meiji of Japan, marries Masako Ichijō. The Queen consort|Empress consort is thereafter known as ''Lady Haruko''.
1901  Vice President of the United States Theodore Roosevelt utters the famous phrase, \"Speak softly and carry a Big Stick ideology|big stick\" at the Minnesota State Fair.
1945    Vietnam declares its independence, forming the North Vietnam|Democratic Republic of Vietnam.
1946  The Interim Government of India is formed, headed by Jawaharlal Nehru as Vice President with the powers of a Prime Minister.
1960  The first election of the Parliament of the Central Tibetan Administration, in history of Tibet. The Tibetan community observes this date as Democracy Day.
1963  ''CBS Evening News'' becomes U.S. network television's first half-hour weeknight news broadcast, when the show is lengthened from 15 to 30 minutes.
1970  NASA announces the Canceled Apollo missions|cancellation of two Apollo program|Apollo missions to the Moon, Apollo 15 (the designation is re-used by a later mission), and Canceled Apollo missions#Apollos 18–20|Apollo 19.
1987  In Moscow, the trial begins for 19-year-old pilot Mathias Rust, who flew his Cessna airplane into Red Square in May.
1990  Transnistria is unilaterally proclaimed a Soviet Union|Soviet republic; the Presidium of the Supreme Soviet|Soviet president Mikhail Gorbachev declares the decision null and void.
1998    The United Nations|UN's International Criminal Tribunal for Rwanda finds Jean-Paul Akayesu, the former mayor of a small town in Rwanda, guilty of nine counts of genocide.
2009  The 2009 Andhra Pradesh Chief Minister helicopter crash|Andhra Pradesh, India helicopter crash occurred near Rudrakonda Hill, 40 nautical miles (74 km) from Kurnool, Andhra Pradesh, India. Fatalities included Y. S. Rajasekhara Reddy, the Chief Minister of the Indian state of Andhra Pradesh.
