3761 BC  The epoch reference date epoch (origin) of the modern Hebrew calendar (Proleptic Julian calendar).
1477  Uppsala University is inaugurated after receiving its corporate rights from Pope Sixtus IV in February the same year.
1542  Explorer Juan Rodríguez Cabrillo|Cabrillo discovers Santa Catalina Island, California|Santa Catalina Island off of the California coast.
1582  Because of the implementation of the Gregorian calendar, this day is skipped in Italy, Poland, Portugal and Spain.
1691  The English royal charter for the Province of Massachusetts Bay is issued.
1763  King George III of the United Kingdom issues the Royal Proclamation of 1763, closing aboriginal lands in North America north and west of the Alleghenies to white settlements.
1800  French corsairs|French corsair Robert Surcouf, commander of the 18-gun ship ''La Confiance'', captures the British 38-gun ''Kent'' inspiring the traditional French song ''Le Trente-et-un du mois d'août''.
1826  The Granite Railway begins operations as the first chartered railway in the U.S.
1828  Morea expedition: The city of Patras, Greece, is liberated by the French expeditionary force in the Peloponnese under Nicolas Joseph Maison|General Maison.
1840  William II of the Netherlands|Willem II becomes King of the Netherlands.
1862  Royal Columbian Hospital (RCH) opens as the first hospital in the Colony of British Columbia
1868  Cornell University holds opening day ceremonies; initial student enrollment is 412, the highest at any American university to that date.
1879  Germany and Austria-Hungary sign the \"Twofold Covenant\" and create the Dual Alliance (1879)|Dual Alliance.
1912  The Helsinki Stock Exchange sees its first transaction.
1916  Georgia Institute of Technology|Georgia Tech defeats Cumberland University 222–0 in the most 1916 Cumberland vs. Georgia Tech football game|lopsided college football game in American history.
1918  The Regency Council (Poland)|Regency Council of the Kingdom of Poland (1916–18)|Kingdom of Poland declares independence from the German Empire and forms the Second Polish Republic|Republic of Poland.
1919  KLM, the flag carrier of the Netherlands, is founded. It is the oldest airline still operating under its original name.
1924  Andreas Michalakopoulos becomes Prime Minister of Greece for a short period of time.
1929  Photius II of Constantinople|Photius II becomes Ecumenical Patriarch of Constantinople.
1933  Air France is inaugurated, after being formed by a merger of five French airlines.
1950  Mother Teresa establishes the Missionaries of Charity.
1958  President of Pakistan Iskander Mirza, with the support of General Ayub Khan (general)|Ayub Khan and the army, suspends the 1956 constitution, imposes martial law, and cancels the elections scheduled for January 1959.
1958    The U.S. manned space-flight project is renamed Project Mercury.
1959  Soviet Union|U.S.S.R. probe Luna 3 transmits the first ever photographs of the far side of the Moon.
1977  The adoption of the 1977 Soviet Constitution|Fourth Soviet Constitution.
1985    Four men from the Palestine Liberation Front Achille Lauro hijacking|hijack the {{ship|MS|Achille Lauro}} off the coast of Egypt.
1987  Sikh nationalists declares the independence of Khalistan from India; it is not internationally recognized.
1988  An Iñupiat hunter discovers three gray whales trapped under the ice in Utqiaġvik, Alaska, US; the situation becomes Operation Breakthrough|a multinational effort to free the whales.
1993  The Great Flood of 1993|flood of '93 ends at St. Louis, Missouri, 103 days after it began, as the Mississippi River falls below flood stage.
1996  Fox News Channel begins broadcasting.
1998  Matthew Shepard, a gay student at the University of Wyoming, is found tied to a fence after being savagely beaten by two young adults in Laramie, Wyoming.
2008  Asteroid 2008 TC3 impacts the Earth over Sudan, the first time an asteroid impact is detected prior to its entry into earth's atmosphere.
