1312 BC  Mursili II Mursili's eclipse|launches a campaign against the Kingdom of Azzi-Hayasa.
109  Roman emperor Trajan inaugurates the Aqua Traiana, an Roman aqueduct|aqueduct that channels water from Lake Bracciano, {{convert|40|km|mi|abbr=off}} north-west of Ancient Rome|Rome.
474  Julius Nepos forces Roman usurper Glycerius to abdicate the throne and proclaims himself Emperor of the Western Roman Empire.
1230  The Siege of Jaén (1230)|Siege of Jaén started in the context of the Spanish Reconquista.
1374  A sudden outbreak of Dancing mania|St. John's Dance causes people in the streets of Aachen, Germany, to experience hallucinations and begin to jump and twitch uncontrollably until they collapse from exhaustion.
1497  John Cabot lands in North America at Newfoundland (island)|Newfoundland leading the first European exploration of the region since the Vikings.
1509  Henry VIII of England|Henry VIII and Catherine of Aragon are crowned King and Queen of England.
1535  The Anabaptist state of Münster Rebellion|Münster is conquered and disbanded.
1571  Miguel López de Legazpi founds Manila, the capital of the Philippines.
1604  Samuel de Champlain discovers the mouth of the Saint John River (Bay of Fundy)|Saint John River, site of Reversing Falls and the present day city of Saint John, New Brunswick, Canada.
1717  The Premier Grand Lodge of England, the first Freemasonry|Masonic Grand Lodge in the world (now the United Grand Lodge of England), is founded in London.
1793  The French Constitution of 1793|first Republican constitution in France is adopted.
1894  Marie François Sadi Carnot is assassinated by Sante Geronimo Caserio.
1913  Greece and Serbia annul their alliance with Bulgaria.
1916  Mary Pickford becomes the first female film star to sign a million-dollar contract.
1918  First airmail service in Canada from Montreal to Toronto.
1922  The American Professional Football Association is renamed the National Football League.
1938  Pieces of a meteorite, estimated to have weighed 450 metric tons when it hit the Earth's atmosphere and exploded, land near Chicora, Pennsylvania.
1939  Siam is renamed Thailand by Plaek Phibunsongkhram, the country's third Prime Minister of Thailand|prime minister.
1947  Kenneth Arnold makes the first widely reported Kenneth Arnold UFO sighting|UFO sighting near Mount Rainier, Washington (state)|Washington.
1949  The first Westerns on television|television western, ''Hopalong Cassidy'', is aired on NBC starring William Boyd (actor)|William Boyd.
1950  Apartheid: In South Africa, the Group Areas Act formally segregating races is passed.
1957  In ''Roth v. United States'', the Supreme Court of the United States|U.S. Supreme Court rules that obscenity is not protected by the First Amendment to the United States Constitution|First Amendment.
1963  The United Kingdom grants Zanzibar internal self-government.
1981  The Humber Bridge opens to traffic, connecting Yorkshire and Lincolnshire. It would be the world's longest  bridge span for 17 years.
1989  Jiang Zemin succeeds Zhao Ziyang to become the General Secretary of the Communist Party of China after the Tiananmen Square protests of 1989.
1995  \"1995 Rugby World Cup|Rugby World Cup final\": South Africa defeats New Zealand, Nelson Mandela presents Francois Pienaar with the Webb-Ellis trophy in an iconic post-apartheid moment.
2004  In New York, capital punishment is declared unconstitutional.
2010  John Isner of the United States defeats Nicolas Mahut of France at The Championships, Wimbledon|Wimbledon, in Isner–Mahut match at the 2010 Wimbledon Championships|the longest match in professional tennis history.
2010    Julia Gillard assumes office as the first female Prime Minister of Australia.
2013  Former Prime Minister of Italy|Italian Prime Minister Silvio Berlusconi is Silvio Berlusconi prostitute trial|found guilty of abusing his power and having sex with an underage prostitute, and is sentenced to seven years in prison.
