660 BC  Traditional date for the foundation of Japan by Emperor Jimmu.
1177  John de Courcy's army defeats the native Dunleavey Clan in Ulster. The English establish themselves in Ulster.
1534  Henry VIII of England is recognized as supreme head of the Church of England.
1626  Emperor Susenyos I of Ethiopia and Patriarch Afonso Mendes declare the primacy of the Roman See over the Ethiopian Orthodox Tewahedo Church|Ethiopian Church, and Catholic Church|Catholicism to be the state religion of Ethiopia.
1659  Assault on Copenhagen (1659)|The assault on Copenhagen by Swedish forces is beaten back with heavy losses.
1790  The Religious Society of Friends, also known as Quakers, petitions United States Congress|U.S. Congress for the Abolitionism in the United States|abolition of slavery.
1794  First session of United States Senate opens to the public.
1812  Massachusetts governor Elbridge Gerry is accused of \"gerrymandering\" for the first time.
1826  University College London is founded as University of London.
1840  Gaetano Donizetti's opera ''La fille du régiment'' receives its first performance in Paris, France.
1843  Giuseppe Verdi's opera ''I Lombardi alla prima crociata'' receives its first performance in Milan, Italy.
1855  Kassa Hailu is crowned Tewodros II, Emperor of Ethiopia, by Abuna Salama III in a ceremony at the church of Derasge Maryam
1856  The Kingdom of Awadh is annexed by the British East India Company and Wajid Ali Shah, the king of Awadh, is imprisoned and later exiled to Calcutta.
1858  Bernadette Soubirous's first Lourdes apparitions|vision of the Our Lady of Lourdes|Blessed Virgin Mary in Lourdes, France.
1873  King Amadeo I of Spain abdicates.
1903  Anton Bruckner's Symphony No. 9 (Bruckner)|9th Symphony receives its first performance in Vienna, Austria.
1906  Pope Pius X publishes the encyclical ''Vehementer Nos''.
1919  Friedrich Ebert (Social Democratic Party of Germany|SPD), is elected President of Germany.
1929  Kingdom of Italy and the Holy See|Vatican sign the Lateran Treaty.
1937  The Flint sit-down strike ends when General Motors recognizes the United Auto Workers trade union.
1938  BBC One|BBC Television produces the world's first ever Science fiction on television|science fiction television program, an adaptation of a section of the Karel Čapek play ''R.U.R.'', that coined the term \"robot\".
1939  A Lockheed P-38 Lightning flies from California to New York in seven hours two minutes.
1953    The Soviet Union breaks off diplomatic relations with Israel.
1959  The Federation of Arab Emirates of the South, which will later become South Yemen, is created as a protectorate of the United Kingdom.
1964  Greece|Greeks and Turkey|Turks begin fighting in Limassol|Limassol, Cyprus.
1978  Censorship: China lifts a ban on works by Aristotle, William Shakespeare and Charles Dickens.
1981  Around {{convert|100000|USgal|m3}} of radioactive coolant leak into the containment building of Tennessee Valley Authority|TVA Sequoyah Nuclear Generating Station|Sequoyah 1 nuclear plant in Tennessee, contaminating eight workers.
1990  Nelson Mandela is released from Drakenstein Correctional Centre|Victor Verster Prison outside Cape Town, South Africa after 27 years as a political prisoner.
1990    Buster Douglas, a 42:1 underdog, Mike Tyson vs. Buster Douglas|knocks out Mike Tyson in ten rounds at Tokyo to win boxing's world Heavyweight title.
1997  Space Shuttle Discovery|Space Shuttle ''Discovery'' is launched on a STS-82|mission to service the Hubble Space Telescope.
1999  Pluto crosses Neptune's orbit, ending a nearly 20-year period (since 1979) when it was closer to the Sun than the gas giant; Pluto is not expected to interact with Neptune's orbit for another 228 years.
2001  A Dutch programmer launched the Anna Kournikova (computer virus)|Anna Kournikova virus infecting millions of emails via a trick photo of the tennis star.
2006  U.S. Vice President Dick Cheney shot Harry Whittington, a 78-year-old Texas attorney, Dick Cheney hunting incident|while participating in a quail hunt on a ranch in Riviera, Texas.
2013  The Vatican confirmed that Pope Benedict XVI would Resignation of Pope Benedict XVI|resign the papacy on 28 February 2013, as a result of his advanced age.
2017  North Korea Pukkuksong-2|test fires a ballistic missile across the Sea of Japan.
