497 BC  The first Saturnalia festival was celebrated in ancient Rome.
546  Sack of Rome (546)|Siege of Rome: The Ostrogoths under king Totila plunder the city, by bribing the Byzantine Empire|Byzantine garrison.
920  Romanos I Lekapenos is crowned co-emperor of the underage Constantine VII.
942  Assassination of William I of Normandy.
1398  Tughlaq dynasty|Sultan Nasir-u Din Mehmud's armies in Delhi are defeated by Timur.
1538  Pope Paul III excommunicates Henry VIII of England.
1586  Emperor Go-Yōzei|Go-Yōzei becomes Emperor of Japan.
1790  The Aztec calendar stone is discovered at  El Zócalo, Mexico City.
1819  Simón Bolívar declares the independence of Gran Colombia in Angostura (now Ciudad Bolívar in Venezuela).
1865  First performance of the Symphony No. 8 (Schubert)|Unfinished Symphony by Franz Schubert.
1892  First issue of ''Vogue (magazine)|Vogue'' is published.
1903  The Wright brothers make the first controlled powered, heavier-than-air flight in the ''Wright Flyer'' at Kitty Hawk, North Carolina.
1907  Ugyen Wangchuck is crowned first King of Bhutan
1913  A spur of the Shaker Heights streetcar line opens, the first line of the eventual Cleveland RTA Rapid Transit system.
1918  Darwin Rebellion: Up to 1,000 demonstrators march on Government House, Darwin|Government House in Darwin, Northern Territory, Australia.
1919  Uruguay becomes a signatory to the Buenos Aires Convention|Buenos Aires copyright treaty.
1926  Antanas Smetona assumes power in Lithuania as the 1926 Lithuanian coup d'état|1926 coup d'état is successful.
1935  First flight of the Douglas DC-3.
1938  Otto Hahn discovers the nuclear fission of the heavy element uranium, the scientific and technological basis of Nuclear power|nuclear energy.
1943  All Chinese are again permitted to become citizens of the United States upon the repeal of the Chinese Exclusion Act|Act of 1882 and the introduction of the Magnuson Act.
1947  First flight of the Boeing B-47 Stratojet strategic bomber.
1948  The Finnish Security Intelligence Service|Finnish Security Police is established to remove Communist Party of Finland|communist leadership from its predecessor, the State Police (Finland)|State Police.
1950  The North American F-86 Sabre|F-86 Sabre's first mission over Korea.
1951  The American Civil Rights Congress delivers \"We Charge Genocide\" to the United Nations.
1957  The United States successfully launches the first SM-65 Atlas|Atlas intercontinental ballistic missile at Cape Canaveral, Florida.
1967  Harold Holt, Prime Minister of Australia, Disappearance of Harold Holt|disappears while swimming near Portsea, Victoria, and is presumed drowned.
1969  Project Blue Book: The United States Air Force closes its study of Unidentified flying object|UFOs.
1989    Fernando Collor de Mello defeats Luiz Inácio Lula da Silva in the second round of the Brazilian presidential election, 1989|Brazilian presidential election, becoming the first democratically elected President of Brazil|President in almost 30 years.
1989    ''The Simpsons'' first premieres on television with the episode \"Simpsons Roasting on an Open Fire\".
2003    SpaceShipOne, piloted by Brian Binnie, makes SpaceShipOne flight 11P|its first powered and first supersonic flight.
2005  Anti-World Trade Organization World Trade Organization Ministerial Conference of 2005#17 December 2005|protesters riot in Wan Chai, Hong Kong.
2005    Jigme Singye Wangchuck abdicates the throne as King of Bhutan.
2014  The United States and Cuba re-establish Cuba–United States relations|diplomatic relations after severing them in 1960.
