==Events==
484 BC  Dedication of the Temple of Castor and Pollux in ancient Rome
AD 70  Titus and his armies Siege of Jerusalem (AD 70)|breach the walls of Jerusalem. (17th of Tammuz in the Hebrew calendar).
1149  The reconstructed Church of the Holy Sepulchre is consecrated in Jerusalem.
1207  King John, King of England|John of England expels Canterbury monks for supporting Archbishop of Canterbury|Archbishop Stephen Langton.
1381  John Ball (priest)|John Ball, a leader in the Peasants' Revolt, is hanged, drawn and quartered in the presence of King Richard II of England.
1482  Muhammad XII of Granada|Muhammad XII is crowned the twenty-second and last Nasrid dynasty|Nasrid king of Emirate of Granada|Granada.
1741  Aleksei Chirikov sights land in Southeast Alaska. He sends men ashore in a longboat, making them the first Europeans to visit Alaska.
1789  Gilbert du Motier, Marquis de Lafayette, is named by acclamation Colonel General of the new National Guard (France)|National Guard of Paris.
1799  The Rosetta Stone is found in the Egyptian village of Rosetta by French Captain (armed forces)|Captain Pierre-François Bouchard during Napoleon's French campaign in Egypt and Syria|Egyptian Campaign.
1806  Pike expedition: United States Army Lieutenant Zebulon Pike begins an expedition from Fort Bellefontaine near St. Louis, Missouri,  to explore the west.
1834  The Spanish Inquisition is officially disbanded after nearly 356 years.
1838  Ralph Waldo Emerson delivers the Divinity School Address at Harvard Divinity School, discounting Biblical miracles and declaring Jesus a great man, but not God.  The Protestant community reacts with outrage.
1870    Rupert's Land and the North-Western Territory are transferred to Canada from the Hudson's Bay Company, and the province of Manitoba and the Northwest Territories are established from these vast territories.
1910  In his book ''Clinical Psychiatry'', Emil Kraepelin gives a name to Alzheimer's disease, naming it after his colleague Alois Alzheimer.
1916  In Seattle|Seattle, Washington, William Boeing and George Conrad Westervelt incorporate Pacific Aero Products (later renamed Boeing).
1920  The Second Polish Republic|Polish Parliament establishes Silesian Voivodeship (1920–39)|Silesian Voivodeship before the Upper Silesia plebiscite|Polish-German plebiscite.
1922  Japanese Communist Party is established in Japan.
1946  North Borneo|State of North Borneo, today in Sabah, Malaysia, annexed by the United Kingdom.
1954  First flight of the Boeing 367-80, prototype for both the Boeing 707 and Boeing C-135 Stratolifter|C-135 series.
1955  Eighteen Nobel Prize|Nobel laureates sign the Mainau Declaration against nuclear weapons, later co-signed by thirty-four others.
1959  The steel strike of 1959 begins, leading to significant importation of foreign steel for the first time in United States history.
1971  The United Red Army is founded in Japan.
1974  In Nicosia, Cyprus, Greek military junta of 1967–74|Greek junta-sponsored nationalists launch a coup d'état, deposing President Makarios III|Makarios and installing Nikos Sampson as Cyprus|Cypriot president.
1975  Space Race: Apollo–Soyuz Test Project features the dual launch of an Apollo program|Apollo spacecraft and a Soyuz (spacecraft)|Soyuz spacecraft on the first joint Soviet-United States human-crewed flight. It was both the last launch of an Apollo spacecraft, and the Saturn (rocket family)|Saturn family of rockets.
1979  U.S. President of the United States|President Jimmy Carter gives his \"malaise speech\".
1996  A Belgian Air Component|Belgian Air Force Lockheed C-130 Hercules|C-130 Hercules carrying the Royal Netherlands Army marching band crashes on landing at Eindhoven Airport.
2002  \"American Taliban\" John Walker Lindh pleads guilty to supplying aid to the enemy and to possession of explosives during the commission of a felony.
2006  Twitter is launched, becoming one of the largest social media platforms in the world.
2016  Factions of the Turkish Armed Forces attempt 2016 Turkish coup d'état attempt|a coup.
==Births==
980  Emperor Ichijō|Ichijō, Japanese emperor (d. 1011)
1273  Ewostatewos, Ethiopian monk and saint (d. 1352)
1353  Vladimir the Bold, Russian prince (d. 1410)
1359  Antonio Correr (cardinal)|Antonio Correr, Italian cardinal (d. 1445)
1442  Boček IV of Poděbrady, Bohemian nobleman (d. 1496)
1455  Deposed Queen Lady Yun|Queen Yun, Korean queen (d. 1482)
1471  Eskender, Ethiopian emperor (d. 1494)
1478  Barbara Jagiellon, duchess consort of Saxony and Margravine consort of Meissen (d. 1534)
1573  Inigo Jones, English architect, designed the Queen's House (d. 1652)
1600  Jan Cossiers, Flemish painter (d. 1671)
1602  John Bradshaw (judge)|John Bradshaw, English judge (d. 1659)
1611  Jai Singh I, maharaja of Jaipur (d. 1667)
1613  Gu Yanwu, Chinese philologist and geographer (d. 1682)
1606  Rembrandt, Dutch painter and etcher (d. 1669)
1631  Jens Juel (diplomat)|Jens Juel, Danish politician and diplomat, Governor-general of Norway (d. 1700)
1631    Richard Cumberland (philosopher)|Richard Cumberland, English philosopher (d. 1718)
1638  Giovanni Buonaventura Viviani, Italian violinist and composer (d. 1693)
1704  August Gottlieb Spangenberg, German bishop and theologian (d. 1792)
1779  Clement Clarke Moore, American author, poet, and educator (d. 1863)
1796  Thomas Bulfinch, American mythologist (d. 1867)
1799  Reuben Chapman, American lawyer and politician, 13th Governor of Alabama (d. 1882)
1800  Sidney Breese, American jurist and politician (d. 1878)
1812  James Hope-Scott, English lawyer and academic (d. 1873)
1817  Sir John Fowler, 1st Baronet, English engineer, designed the Forth Bridge (d. 1898)
1827  W. W. Thayer American lawyer and politician, 6th Governor of Oregon (d. 1899)
1848  Vilfredo Pareto, Italian economist and sociologist (d. 1923)
1850  Francesca S. Cabrini, Italian-American nun and saint (d. 1917)
1858  Emmeline Pankhurst, English activist (d. 1928)
1864  Marie Tempest, English actress and singer (d. 1942)
1865  Alfred Harmsworth, 1st Viscount Northcliffe, Irish-English publisher, founded the ''Amalgamated Press'' (d. 1922)
1865    Wilhelm Wirtinger, Austrian-German mathematician and theorist (d. 1945)
1867  Jean-Baptiste Charcot, French physician and explorer (d. 1936)
1871  Doppo Kunikida, Japanese journalist, author, and poet (d. 1908)
1880  Enrique Mosca, Argentinian lawyer and politician (d. 1950)
1887  Wharton Esherick, American sculptor (d. 1970)
1892  Walter Benjamin, German philosopher and critic (d. 1940)
1893  Enid Bennett, Australian-American actress (d. 1969)
1893    Dick Rauch, American football player and coach (d. 1970)
1894  Tadeusz Sendzimir, Polish-American engineer (d. 1989)
1902  Jean Rey (politician)|Jean Rey, Belgian lawyer and politician, 2nd President of the European Commission (d. 1983)
1903  Walter D. Edmonds, American journalist and author (d. 1998)
1903    K. Kamaraj, Indian journalist and politician (d. 1975)
1904  Rudolf Arnheim, German-American psychologist and author (d. 2007)
1905  Dorothy Fields, American songwriter (d. 1974)
1905    Anita Farra, Italian actress (d. 2008)
1906  R. S. Mugali, Indian poet and academic (d. 1993)
1906  Rudolf Uhlenhaut, English-German engineer (d. 1989)
1909  Jean Hamburger, French physician and surgeon (d. 1992)
